",2,2,2,8,10,8,8,8,8",[24.19200292  0.24942106  2.50266609  2.13743463]
",2,2,2,10,10,1,8,8,8",[-0.04657489 -0.06543855 -0.00731264  1.76893176]
",2,8,8,2,10,8,2,2,2",[ 0.44533507  3.42463889 24.2875359   0.22842414]
",2,8,8,2,10,8,2,1,8",[-0.03372959  6.44675134  0.7785968  -0.21986368]
",2,2,2,2,10,8,2,8,8",[ 0.04746784  0.37014275  1.64704847 15.38491219]
",2,2,2,2,10,10,2,8,8",[-0.09772094 -0.05118408 -0.08730284  1.82760931]
",2,2,2,1,10,1,10,8,8",[-0.17409037 -0.07204207  0.38031347 24.01013036]
",2,1,10,2,10,8,2,8,2",[-0.04393426 -0.16901353  0.86404222  9.48816912]
",2,2,2,10,10,1,1,8,8",[-0.04839881 -0.178405   -0.01        0.40773416]
",8,8,8,1,10,8,1,8,2",[-0.01        0.52815701  0.1         0.1       ]
",2,2,2,2,10,10,2,1,8",[-0.168604   -0.05       -0.09931329 -0.02747346]
",2,8,8,2,10,1,2,1,8",[-0.089302    0.33672555  0.          0.        ]
",2,2,2,10,10,8,8,8,8",[-0.04859175 -0.01508666  0.85403711  0.20021713]
",2,2,8,2,10,8,2,1,1",[-0.0798     -0.11086558  0.87450177 -0.16710135]
",2,2,2,1,10,10,1,8,8",[ 0.       -0.038806  0.        0.397607]
",2,2,2,1,10,8,8,8,8",[-0.06715283  0.80165037 24.26600426  3.291386  ]
",2,1,8,2,10,1,2,1,8",[-0.04       -0.0294     -0.01       -0.01688027]
",1,1,1,1,10,8,8,2,8",[ 0.         0.         1.1739442 -0.0299   ]
",1,8,8,1,10,8,1,8,2",[-0.03        0.          0.          0.31206059]
",1,1,8,1,10,2,1,8,8",[-0.03027904  0.         -0.04847151  0.59940111]
",1,1,1,1,10,8,2,8,8",[-0.0791121  -0.18096539  4.71378872  0.7064562 ]
",2,1,1,2,10,1,2,1,8",[-0.11912256 -0.12921253 -0.1046665  -0.10778335]
",1,1,1,1,10,1,8,2,8",[-0.03512435 -0.15954198 -0.04303393 -0.04      ]
",2,1,1,2,10,8,2,2,2",[-0.0675104  -0.03        0.41698059 -0.05717189]
",2,2,2,1,10,2,8,8,2",[1.38077646e-02 3.45029378e-01 1.47038909e-01 2.28956702e+01]
",2,1,1,2,10,1,2,8,2",[-0.2763379  -0.83392546 -0.32846614  2.89587581]
",2,2,2,1,10,1,8,8,8",[-0.02058414 -0.135224    0.01673189  2.88513829]
",2,1,8,2,10,1,2,1,1",[-0.1092752   0.20921373 -0.0673777  -0.15664763]
",2,1,1,2,10,2,2,2,8",[-6.88962811 -5.67303008 -6.88673837 -6.88411403]
",1,1,1,8,10,8,8,8,8",[ 0.41225398 -0.12683659  3.40825096  0.20026906]
",2,2,2,1,10,1,8,1,8",[-0.02       -0.0697      0.02744846 -0.02722039]
",2,2,2,1,10,1,8,8,1",[-0.02555823 -0.02       -0.09885027  0.29741917]
",1,1,2,1,10,8,2,2,2",[-0.61794849 -0.27336269  6.73086609 -0.15160024]
",2,1,1,2,10,1,2,1,2",[-10.9207922    2.51658396 -10.86606105 -10.91264502]
",2,2,2,1,10,1,1,8,8",[-9.97356269e-02 -1.10791093e-01 -6.08184940e-03  6.78350789e+00]
",2,1,1,2,10,1,2,2,2",[-12.56844237 -12.52565273 -12.47850426 -12.54738565]
",2,2,2,1,10,1,1,1,8",[-1.29115156 -0.82635378  0.20055746 -0.29887596]
",2,2,2,2,10,1,2,1,1",[-12.72615277 -12.64459778   6.74669972 -12.7083285 ]
",2,2,2,1,10,1,1,1,1",[-17.14777277 -17.06382891  13.53522735 -17.2006182 ]
",1,1,8,1,10,2,1,1,8",[-0.25065234 -0.1559005  -0.13862622  0.11287523]
",1,1,1,1,10,8,8,8,8",[-0.07778916 -0.18618883  0.41482287  5.93911172]
",1,1,8,8,10,8,8,8,8",[ 1.0127375  -0.07642886 10.43249085  1.1408828 ]
",1,2,8,1,10,8,2,2,2",[-0.87769482 -0.11530941  5.58578154 -0.04250232]
",8,1,8,8,10,8,8,8,8",[ 0.20078565 -0.029107    0.53166112  0.10178562]
",1,1,2,1,10,1,2,2,2",[-11.81851161 -11.85068242 -11.86539497 -11.86472132]
",1,1,8,8,10,8,8,1,8",[ 0.1        -0.01        0.42265058  0.        ]
",10,1,1,2,10,1,8,8,1",[-0.01       -0.06608024 -0.05        0.1006    ]
",2,1,1,2,10,1,2,1,1",[-14.1625136  -14.18207214 -13.20826641 -14.14575649]
",1,1,1,1,10,1,1,2,10",[-3.51422747 -3.47638282 -3.52120283 -3.56949565]
",1,1,1,2,10,1,8,8,1",[-0.14048864 -0.15049065 -0.05965419  1.35761549]
",1,1,8,1,10,8,8,1,8",[-0.02       -0.04517742  0.32366739 -0.0199    ]
",1,8,8,1,10,8,1,1,2",[-0.04993111  0.98326728  0.         -0.0203195 ]
",2,8,8,1,10,8,1,1,8",[-0.05146454  0.19962502  1.878837   -0.04990487]
",1,1,1,1,10,8,1,1,8",[-0.82686249 -0.25466913  9.41746873 -0.10491261]
",2,2,8,2,10,1,2,1,1",[-0.33337333 -0.28516312 -0.20988909 -0.5139962 ]
",1,1,1,1,10,1,1,8,8",[-0.12317756 -0.58963425 -0.03582875  7.43679024]
",1,1,1,1,10,8,1,8,8",[-0.28049041 -0.08835515  6.65016306  0.72898324]
",1,1,8,1,10,8,1,1,2",[-0.76814476 -0.04446814 23.71978083 -0.1543155 ]
",1,1,1,1,10,1,1,2,1",[-11.06895757 -12.18515113 -12.08005207 -12.04730575]
",1,1,8,1,10,8,8,8,8",[-0.09596444 -0.0452744   5.71861286  0.93720793]
",1,1,1,8,10,1,8,8,8",[ 2.73837094 -0.10936406 -0.05636842  0.29961548]
",2,1,1,8,10,1,1,8,8",[ 0.29685464  0.         -0.00100238  0.        ]
",10,2,1,2,10,1,1,1,8",[-0.0797404  -0.05972032 -0.06401411 -0.0659628 ]
",2,1,1,2,10,2,2,2,10",[-2.09221165 -2.11246444 -2.07817413 -2.12575395]
",1,1,8,1,10,2,1,1,1",[-0.51755012 -0.29400768 -0.29475104 -0.3837243 ]
",2,1,1,1,10,1,1,8,8",[-0.01017941 -0.17756342  0.00448826  2.53168016]
",1,1,1,1,10,8,8,8,2",[0.         0.         0.77649475 0.10238547]
",1,1,8,1,10,8,8,2,2",[ 0.          0.00885148  0.86987809 -0.02790218]
",1,8,8,1,10,8,2,2,8",[-0.07817069  5.63761191  0.1996036  -0.05675843]
",1,1,8,1,10,1,8,2,2",[-0.01    0.     -0.0199 -0.0498]
",1,8,8,1,10,8,1,1,8",[-3.73164013e-01  1.67010704e+00  2.34023990e+01 -2.24132543e-02]
",8,8,8,1,10,8,1,8,8",[-0.12655086  2.02834103 22.99346986  0.64224237]
",1,8,8,1,10,1,1,1,8",[-0.16077112  2.80542517 -0.00365172  0.        ]
",1,1,8,1,10,8,1,1,1",[-0.87890083 -0.02830059  3.75396001 -0.17376797]
",1,1,8,1,10,1,1,1,8",[-0.11380669 -0.05294929 -0.0631657   0.02603249]
",1,8,8,1,10,8,1,8,8",[-0.35434149  1.14529839  1.57262564 11.14185134]
",1,1,8,1,10,8,2,8,8",[-0.24338064  0.22852418  1.95266224 23.12249996]
",1,1,1,1,10,1,2,1,1",[ -9.96654845 -14.66396273 -14.75857083 -14.73525573]
",1,1,1,2,10,1,1,1,1",[-14.78407908  -9.83396833 -14.82142984 -14.82110006]
",1,1,8,1,10,1,1,1,1",[-1.23274252 -0.34225331  0.42093825 -0.84401531]
",1,1,1,1,10,1,1,1,1",[-15.12693254 -15.08829571 -15.1211359    2.64945926]
",1,1,1,1,10,8,1,1,2",[-1.02065492 -0.08811723 15.85936784 -0.38966143]
",1,10,1,1,10,1,1,1,1",[-7.12407903 -7.33273826 -7.38672586 -7.37293475]
",1,1,1,1,10,1,1,10,1",[-8.26363836 -8.066389   -8.05288738 -8.08772138]
",1,1,1,1,10,1,8,8,2",[-0.0088024  -0.29384848 -0.13817201  2.26848001]
",2,10,1,1,10,1,1,1,1",[-4.22204492 -3.60555484 -4.26606486 -4.24326473]
",1,1,1,2,10,1,1,10,1",[-3.63730804 -3.5998213  -3.58614598 -3.57286401]
",2,1,1,1,10,1,1,1,1",[-14.06097888  -7.04143012 -14.05819334 -14.08109424]
",1,2,1,2,10,1,10,1,1",[-1.45846089 -1.40596644 -1.43667482 -1.48680909]
",2,2,10,2,10,1,2,1,1",[-2.47112671 -2.48506732 -2.46611778 -2.45033307]
",2,2,1,2,10,1,2,1,1",[-12.66109366 -12.69128623 -12.60344289 -12.35678647]
",2,1,1,1,10,1,1,1,8",[-0.57815058 -0.30120624  0.71310243 -0.29004328]
",8,8,2,1,10,2,1,8,2",[-6.45411534e-02  9.40548222e+00  3.86242744e-03  6.25502869e-01]
",1,1,1,1,10,8,1,1,1",[-0.93762463 -0.27650264  4.57738221 -0.31053396]
",1,1,2,10,10,2,1,1,2",[-10.78679183 -10.70151579 -10.79970296 -10.58824221]
",1,1,1,1,10,10,1,1,1",[-8.43045199 -8.38630404 -8.00324675 -8.3377142 ]
",1,1,2,1,10,2,1,1,2",[-11.34632245 -20.26530857 -20.22649609 -20.43458189]
",10,1,1,1,10,1,1,1,1",[-7.43075767 -6.97638507 -7.06879877 -7.07262706]
",1,2,1,2,10,1,1,1,1",[-8.62031555 -8.68685178  6.23359655 -8.69045258]
",2,2,2,1,10,1,1,1,10",[-6.65905633 -6.74050578 -6.96238601 -6.74407695]
",2,2,2,1,10,2,1,1,2",[-17.45466267 -17.33825868 -17.42355437 -16.98169924]
",2,2,2,1,10,1,10,1,1",[-6.70180798 -6.82269948 -6.79364235 -6.5904441 ]
",1,1,10,1,10,1,1,1,1",[-7.74346047 -5.81085199 -7.59994389 -7.56044992]
",2,2,2,10,10,1,1,1,1",[-5.67643374 -5.75843516 -5.82329308 -5.67514372]
",2,2,2,1,10,10,1,1,1",[-5.85726321 -5.81131534 -5.89303541 -5.71618779]
",1,1,1,1,10,8,1,2,8",[-0.21286224 -0.09053956  4.02943227 -0.0304019 ]
",1,1,1,1,10,2,2,8,8",[-0.22137168 -0.41258382 -0.16689326  5.57695547]
